feature_a,feature_b,pooled_spearman,abs_pooled_spearman,pooled_p_value,spearman_2018_19,spearman_2019_20,spearman_2020_21,spearman_2021_22,min_within_year_abs_spearman,median_within_year_abs_spearman,mean_within_year_abs_spearman,max_within_year_abs_spearman,high_pooled_correlation_flag,very_high_pooled_correlation_flag,consistently_strong_redundancy_flag,pooled_year_effect_caution_flag
hba1c,bmi,0.898,0.898,0.0,0.49,0.551,0.677,0.633,0.49,0.592,0.588,0.677,False,False,False,False
cholesterol,smoking,0.891,0.891,0.0,0.63,0.518,0.499,0.633,0.499,0.574,0.57,0.633,False,False,False,False
cholesterol,bmi,0.886,0.886,0.0,0.394,0.391,0.609,0.573,0.391,0.484,0.492,0.609,False,False,False,False
blood_pressure,serum_creatinine,0.885,0.885,0.0,0.482,0.618,0.879,0.915,0.482,0.748,0.723,0.915,False,False,False,False
bmi,smoking,0.884,0.884,0.0,0.503,0.535,0.453,0.573,0.453,0.519,0.516,0.573,False,False,False,False
hba1c,foot_surveillance,0.879,0.879,0.0,0.159,0.248,0.469,0.512,0.159,0.359,0.347,0.512,False,False,False,False
cholesterol,serum_creatinine,0.865,0.865,0.0,0.483,0.479,0.813,0.739,0.479,0.611,0.628,0.813,False,False,False,False
serum_creatinine,bmi,0.865,0.865,0.0,0.39,0.611,0.698,0.62,0.39,0.615,0.58,0.698,False,False,False,False
blood_pressure,smoking,0.86,0.86,0.0,0.369,0.448,0.349,0.396,0.349,0.382,0.391,0.448,False,False,False,False
hba1c_le_58_mmol_mol_7_5pct,all_three_treatment_targets,0.843,0.843,0.0,0.798,0.786,0.674,0.682,0.674,0.734,0.735,0.798,False,False,False,False
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_58_mmol_mol_7_5pct,0.841,0.841,0.0,0.841,0.733,0.815,0.899,0.733,0.828,0.822,0.899,False,False,False,False
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_75_mmol_mol_9_0pct,0.835,0.835,0.0,0.784,0.744,0.763,0.816,0.744,0.774,0.777,0.816,False,False,False,False
hba1c_le_58_mmol_mol_7_5pct,hba1c_le_86_mmol_mol_10_0pct,0.829,0.829,0.0,0.682,0.73,0.755,0.805,0.682,0.742,0.743,0.805,False,False,False,False
hba1c,smoking,0.805,0.805,0.0,0.073,0.112,0.204,0.36,0.073,0.158,0.187,0.36,False,False,False,False
smoking,blood_pressure_le_140_80,0.805,0.805,0.0,0.483,0.381,0.26,0.43,0.26,0.405,0.389,0.483,False,False,False,False
cholesterol,blood_pressure_le_140_80,0.789,0.789,0.0,0.612,0.434,-0.152,0.192,0.152,0.313,0.348,0.612,False,False,False,False
bmi,all_eight_care_processes,0.788,0.788,0.0,0.081,0.617,0.742,0.735,0.081,0.676,0.544,0.742,False,False,False,False
serum_creatinine,foot_surveillance,0.786,0.786,0.0,-0.091,0.192,0.444,0.419,0.091,0.306,0.287,0.444,False,False,False,False
hba1c_le_53_mmol_mol_7_0pct,all_three_treatment_targets,0.786,0.786,0.0,0.749,0.717,0.681,0.658,0.658,0.699,0.701,0.749,False,False,False,False
foot_surveillance,blood_pressure_le_140_80,0.78,0.78,0.0,0.374,0.237,-0.062,0.175,0.062,0.206,0.212,0.374,False,False,False,False
smoking,all_eight_care_processes,0.763,0.763,0.0,0.41,0.538,0.579,0.504,0.41,0.521,0.508,0.579,False,False,False,False
blood_pressure,blood_pressure_le_140_80,0.759,0.759,0.0,0.37,0.269,-0.242,0.023,0.023,0.256,0.226,0.37,False,False,False,False
hba1c_le_75_mmol_mol_9_0pct,all_three_treatment_targets,0.75,0.75,0.0,0.582,0.56,0.561,0.522,0.522,0.56,0.556,0.582,False,False,False,False
serum_creatinine,smoking,0.749,0.749,0.0,0.074,0.066,0.163,0.233,0.066,0.119,0.134,0.233,False,False,False,False
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_86_mmol_mol_10_0pct,0.749,0.749,0.0,0.64,0.674,0.635,0.723,0.635,0.657,0.668,0.723,False,False,False,False
serum_creatinine,all_eight_care_processes,0.743,0.743,0.0,0.331,0.35,0.42,0.305,0.305,0.341,0.352,0.42,False,False,False,False
smoking,all_three_treatment_targets,0.736,0.736,0.0,0.34,0.26,0.223,0.368,0.223,0.3,0.298,0.368,False,False,False,False
secondary_prevention_on_statins_with_cvd_history,combined_prevention_on_statins,0.734,0.734,0.0,0.727,0.746,0.702,0.707,0.702,0.717,0.72,0.746,False,False,False,False
foot_surveillance,all_three_treatment_targets,0.727,0.727,0.0,0.372,0.195,-0.03,0.182,0.03,0.189,0.195,0.372,False,False,False,False
foot_surveillance,all_eight_care_processes,0.712,0.712,0.0,0.128,0.406,0.853,0.744,0.128,0.575,0.533,0.853,False,False,False,False
hba1c,blood_pressure_le_140_80,0.709,0.709,0.0,0.066,0.01,-0.273,0.042,0.01,0.054,0.098,0.273,False,False,False,False
cholesterol,all_three_treatment_targets,0.707,0.707,0.0,0.5,0.241,-0.185,0.148,0.148,0.213,0.268,0.5,False,False,False,False
bmi,blood_pressure_le_140_80,0.697,0.697,0.0,0.168,0.075,-0.296,0.027,0.027,0.122,0.141,0.296,False,False,False,False
hba1c_le_86_mmol_mol_10_0pct,all_three_treatment_targets,0.687,0.687,0.0,0.423,0.46,0.468,0.449,0.423,0.455,0.45,0.468,False,False,False,False
hba1c_le_48_mmol_mol_6_5pct,all_three_treatment_targets,0.685,0.685,0.0,0.647,0.594,0.697,0.694,0.594,0.67,0.658,0.697,False,False,False,False
primary_prevention_on_statins_without_cvd_history,secondary_prevention_on_statins_with_cvd_history,0.684,0.684,0.0,0.686,0.687,0.669,0.653,0.653,0.677,0.673,0.687,False,False,False,False
blood_pressure,all_eight_care_processes,0.682,0.682,0.0,0.015,0.296,0.582,0.479,0.015,0.387,0.343,0.582,False,False,False,False
cholesterol,all_eight_care_processes,0.682,0.682,0.0,0.275,0.276,0.514,0.362,0.275,0.319,0.357,0.514,False,False,False,False
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_75_mmol_mol_9_0pct,0.674,0.674,0.0,0.65,0.511,0.594,0.722,0.511,0.622,0.619,0.722,False,False,False,False
hba1c,all_eight_care_processes,0.668,0.668,0.0,-0.138,0.228,0.399,0.326,0.138,0.277,0.273,0.399,False,False,False,False
blood_pressure,all_three_treatment_targets,0.642,0.642,0.0,0.119,0.014,-0.44,-0.18,0.014,0.15,0.188,0.44,False,False,False,False
serum_creatinine,blood_pressure_le_140_80,0.633,0.633,0.0,0.214,-0.135,-0.363,-0.047,0.047,0.174,0.19,0.363,False,False,False,False
hba1c_le_58_mmol_mol_7_5pct,blood_pressure_le_140_80,0.631,0.631,0.0,0.435,0.449,0.272,0.273,0.272,0.354,0.357,0.449,False,False,False,False
urine_albumin,bmi,0.624,0.624,0.0,-0.033,0.498,0.714,0.656,0.033,0.577,0.475,0.714,False,False,False,False
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_86_mmol_mol_10_0pct,0.604,0.604,0.0,0.519,0.488,0.502,0.636,0.488,0.511,0.536,0.636,False,False,False,False
urine_albumin,smoking,0.596,0.596,0.0,0.332,0.421,0.483,0.345,0.332,0.383,0.395,0.483,False,False,False,False
foot_surveillance,hba1c_le_75_mmol_mol_9_0pct,0.594,0.594,0.0,0.179,0.155,0.015,0.314,0.015,0.167,0.166,0.314,False,False,False,False
foot_surveillance,hba1c_le_86_mmol_mol_10_0pct,0.594,0.594,0.0,0.105,0.114,0.032,0.348,0.032,0.109,0.15,0.348,False,False,False,False
hba1c,all_three_treatment_targets,0.587,0.587,0.0,-0.051,-0.224,-0.415,-0.159,0.051,0.191,0.212,0.415,False,False,False,False
cholesterol,hba1c_le_86_mmol_mol_10_0pct,0.581,0.581,0.0,0.19,0.074,0.001,0.185,0.001,0.129,0.112,0.19,False,False,False,False
hba1c_le_75_mmol_mol_9_0pct,blood_pressure_le_140_80,0.581,0.581,0.0,0.26,0.226,0.179,0.145,0.145,0.203,0.203,0.26,False,False,False,False
cholesterol,hba1c_le_75_mmol_mol_9_0pct,0.572,0.572,0.0,0.268,0.084,-0.07,0.174,0.07,0.129,0.149,0.268,False,False,False,False
hba1c,hba1c_le_86_mmol_mol_10_0pct,0.568,0.568,0.0,0.221,0.107,-0.013,0.178,0.013,0.142,0.129,0.221,False,False,False,False
hba1c_le_86_mmol_mol_10_0pct,blood_pressure_le_140_80,0.56,0.56,0.0,0.186,0.146,0.123,0.142,0.123,0.144,0.149,0.186,False,False,False,False
hba1c_le_53_mmol_mol_7_0pct,blood_pressure_le_140_80,0.559,0.559,0.0,0.378,0.38,0.321,0.254,0.254,0.35,0.333,0.38,False,False,False,False
bmi,all_three_treatment_targets,0.558,0.558,0.0,-0.114,-0.248,-0.396,-0.098,0.098,0.181,0.214,0.396,False,False,False,False
all_eight_care_processes,blood_pressure_le_140_80,0.557,0.557,0.0,0.349,0.094,-0.212,-0.081,0.081,0.153,0.184,0.349,False,False,False,False
foot_surveillance,hba1c_le_58_mmol_mol_7_5pct,0.551,0.551,0.0,0.171,0.056,-0.094,0.209,0.056,0.133,0.133,0.209,False,False,False,False
blood_pressure,hba1c_le_86_mmol_mol_10_0pct,0.549,0.549,0.0,0.027,0.046,-0.119,0.156,0.027,0.082,0.087,0.156,False,False,False,False
serum_creatinine,urine_albumin,0.548,0.548,0.0,0.337,0.064,0.442,0.317,0.064,0.327,0.29,0.442,False,False,False,False
cholesterol,hba1c_le_58_mmol_mol_7_5pct,0.531,0.531,0.0,0.304,0.121,-0.247,0.099,0.099,0.184,0.193,0.304,False,False,False,False
hba1c,hba1c_le_75_mmol_mol_9_0pct,0.521,0.521,0.0,0.125,0.002,-0.131,0.08,0.002,0.103,0.085,0.131,False,False,False,False
blood_pressure,hba1c_le_75_mmol_mol_9_0pct,0.519,0.519,0.0,-0.006,-0.003,-0.21,0.036,0.003,0.021,0.064,0.21,False,False,False,False
urine_albumin,foot_surveillance,0.518,0.518,0.0,0.035,0.34,0.653,0.55,0.035,0.445,0.394,0.653,False,False,False,False
smoking,hba1c_le_58_mmol_mol_7_5pct,0.515,0.515,0.0,0.053,0.045,-0.025,0.114,0.025,0.049,0.059,0.114,False,False,False,False
blood_pressure,urine_albumin,0.507,0.507,0.0,-0.012,0.191,0.588,0.477,0.012,0.334,0.317,0.588,False,False,False,False
serum_creatinine,hba1c_le_86_mmol_mol_10_0pct,0.504,0.504,0.0,0.181,0.057,-0.02,0.184,0.02,0.119,0.111,0.184,False,False,False,False
smoking,hba1c_le_75_mmol_mol_9_0pct,0.5,0.5,0.0,-0.05,-0.073,-0.083,0.049,0.049,0.062,0.064,0.083,False,False,False,False
serum_creatinine,all_three_treatment_targets,0.498,0.498,0.0,0.061,-0.306,-0.454,-0.247,0.061,0.276,0.267,0.454,False,False,False,False
cholesterol,urine_albumin,0.497,0.497,0.0,0.266,0.166,0.48,0.224,0.166,0.245,0.284,0.48,False,False,False,False
hba1c,urine_albumin,0.494,0.494,0.0,-0.129,0.093,0.458,0.349,0.093,0.239,0.257,0.458,False,False,False,False
all_eight_care_processes,all_three_treatment_targets,0.475,0.475,0.0,0.344,0.01,-0.106,-0.028,0.01,0.067,0.122,0.344,False,False,False,False
smoking,hba1c_le_86_mmol_mol_10_0pct,0.474,0.474,0.0,-0.193,-0.154,-0.165,0.036,0.036,0.16,0.137,0.193,False,False,False,False
hba1c_le_48_mmol_mol_6_5pct,blood_pressure_le_140_80,0.474,0.474,0.0,0.343,0.362,0.417,0.333,0.333,0.353,0.364,0.417,False,False,False,False
bmi,hba1c_le_86_mmol_mol_10_0pct,0.466,0.466,0.0,-0.121,-0.203,-0.09,0.161,0.09,0.141,0.144,0.203,False,False,False,False
serum_creatinine,hba1c_le_75_mmol_mol_9_0pct,0.463,0.463,0.0,0.169,-0.024,-0.133,0.068,0.024,0.1,0.098,0.169,False,False,False,False
blood_pressure,hba1c_le_58_mmol_mol_7_5pct,0.451,0.451,0.0,-0.049,-0.092,-0.459,-0.185,0.049,0.139,0.196,0.459,False,False,False,False
foot_surveillance,hba1c_le_53_mmol_mol_7_0pct,0.444,0.444,0.0,0.086,-0.038,-0.12,0.147,0.038,0.103,0.098,0.147,False,False,False,False
bmi,hba1c_le_75_mmol_mol_9_0pct,0.44,0.44,0.0,-0.145,-0.237,-0.158,0.071,0.071,0.152,0.153,0.237,False,False,False,False
cholesterol,hba1c_le_53_mmol_mol_7_0pct,0.433,0.433,0.0,0.284,0.085,-0.279,0.025,0.025,0.182,0.168,0.284,False,False,False,False
hba1c,hba1c_le_58_mmol_mol_7_5pct,0.42,0.42,0.0,0.002,-0.202,-0.4,-0.144,0.002,0.173,0.187,0.4,False,False,False,False
smoking,hba1c_le_53_mmol_mol_7_0pct,0.417,0.417,0.0,0.009,-0.002,-0.004,0.061,0.002,0.007,0.019,0.061,False,False,False,False
urine_albumin,blood_pressure_le_140_80,0.409,0.409,0.0,0.314,0.119,-0.253,-0.114,0.114,0.186,0.2,0.314,False,False,False,False
bmi,hba1c_le_58_mmol_mol_7_5pct,0.363,0.363,0.0,-0.241,-0.372,-0.374,-0.089,0.089,0.306,0.269,0.374,False,False,False,False
serum_creatinine,hba1c_le_58_mmol_mol_7_5pct,0.357,0.357,0.0,0.122,-0.239,-0.402,-0.179,0.122,0.209,0.235,0.402,False,False,False,False
all_eight_care_processes,hba1c_le_75_mmol_mol_9_0pct,0.355,0.355,0.0,0.009,-0.162,0.013,0.171,0.009,0.088,0.089,0.171,False,False,False,False
blood_pressure,hba1c_le_53_mmol_mol_7_0pct,0.354,0.354,0.0,-0.03,-0.114,-0.496,-0.233,0.03,0.173,0.218,0.496,False,False,False,False
all_eight_care_processes,hba1c_le_58_mmol_mol_7_5pct,0.348,0.348,0.0,0.188,-0.16,-0.033,0.139,0.033,0.15,0.13,0.188,False,False,False,False
all_eight_care_processes,hba1c_le_86_mmol_mol_10_0pct,0.336,0.336,0.0,-0.122,-0.233,-0.008,0.197,0.008,0.16,0.14,0.233,False,False,False,False
hba1c,hba1c_le_53_mmol_mol_7_0pct,0.335,0.335,0.0,0.064,-0.142,-0.453,-0.202,0.064,0.172,0.215,0.453,False,False,False,False
urine_albumin,all_three_treatment_targets,0.331,0.331,0.0,0.345,-0.008,-0.208,-0.145,0.008,0.177,0.177,0.345,False,False,False,False
foot_surveillance,hba1c_le_48_mmol_mol_6_5pct,0.315,0.315,0.0,0.098,-0.019,-0.135,0.154,0.019,0.117,0.102,0.154,False,False,False,False
cholesterol,hba1c_le_48_mmol_mol_6_5pct,0.304,0.304,0.0,0.248,0.047,-0.266,0.017,0.017,0.147,0.144,0.266,False,False,False,False
smoking,hba1c_le_48_mmol_mol_6_5pct,0.29,0.29,0.0,0.004,-0.015,0.04,0.079,0.004,0.027,0.035,0.079,False,False,False,False
all_eight_care_processes,hba1c_le_53_mmol_mol_7_0pct,0.284,0.284,0.0,0.178,-0.207,-0.035,0.153,0.035,0.166,0.143,0.207,False,False,False,False
serum_creatinine,hba1c_le_53_mmol_mol_7_0pct,0.279,0.279,0.0,0.157,-0.208,-0.446,-0.225,0.157,0.217,0.259,0.446,False,False,False,False
bmi,hba1c_le_53_mmol_mol_7_0pct,0.269,0.269,0.0,-0.223,-0.351,-0.4,-0.127,0.127,0.287,0.275,0.4,False,False,False,False
smoking,secondary_prevention_on_statins_with_cvd_history,0.247,0.247,0.001,0.647,0.619,0.659,0.561,0.561,0.633,0.621,0.659,False,False,False,False
blood_pressure,hba1c_le_48_mmol_mol_6_5pct,0.241,0.241,0.002,0.05,-0.068,-0.531,-0.249,0.05,0.158,0.225,0.531,False,False,False,False
urine_albumin,hba1c_le_58_mmol_mol_7_5pct,0.239,0.239,0.002,0.188,-0.207,-0.167,0.032,0.032,0.177,0.149,0.207,False,False,False,False
secondary_prevention_on_statins_with_cvd_history,all_three_treatment_targets,0.232,0.232,0.002,0.348,0.385,0.491,0.522,0.348,0.438,0.436,0.522,False,False,False,False
serum_creatinine,secondary_prevention_on_statins_with_cvd_history,-0.229,0.229,0.003,-0.367,-0.462,-0.357,-0.389,0.357,0.378,0.394,0.462,False,False,False,False
hba1c,hba1c_le_48_mmol_mol_6_5pct,0.223,0.223,0.004,0.115,-0.114,-0.482,-0.226,0.114,0.171,0.234,0.482,False,False,False,False
urine_albumin,hba1c_le_75_mmol_mol_9_0pct,0.221,0.221,0.004,-0.012,-0.228,-0.136,0.094,0.012,0.115,0.118,0.228,False,False,False,False
urine_albumin,hba1c_le_86_mmol_mol_10_0pct,0.2,0.2,0.009,-0.156,-0.276,-0.179,0.14,0.14,0.168,0.188,0.276,False,False,False,False
hba1c_le_86_mmol_mol_10_0pct,secondary_prevention_on_statins_with_cvd_history,-0.198,0.198,0.01,-0.349,-0.123,-0.111,-0.129,0.111,0.126,0.178,0.349,False,False,False,False
urine_albumin,hba1c_le_53_mmol_mol_7_0pct,0.192,0.192,0.013,0.189,-0.216,-0.182,0.031,0.031,0.185,0.155,0.216,False,False,False,False
hba1c_le_86_mmol_mol_10_0pct,combined_prevention_on_statins,-0.173,0.173,0.025,-0.284,-0.038,0.054,0.034,0.034,0.046,0.103,0.284,False,False,False,False
hba1c_le_86_mmol_mol_10_0pct,primary_prevention_on_statins_without_cvd_history,-0.169,0.169,0.029,-0.287,-0.062,0.089,0.096,0.062,0.093,0.134,0.287,False,False,False,False
hba1c,secondary_prevention_on_statins_with_cvd_history,-0.167,0.167,0.03,-0.23,-0.368,-0.277,-0.249,0.23,0.263,0.281,0.368,False,False,False,False
all_eight_care_processes,hba1c_le_48_mmol_mol_6_5pct,0.163,0.163,0.035,0.137,-0.321,-0.099,0.141,0.099,0.139,0.174,0.321,False,False,False,False
serum_creatinine,hba1c_le_48_mmol_mol_6_5pct,0.158,0.158,0.04,0.169,-0.223,-0.485,-0.239,0.169,0.231,0.279,0.485,False,False,False,False
bmi,hba1c_le_48_mmol_mol_6_5pct,0.151,0.151,0.051,-0.136,-0.279,-0.456,-0.153,0.136,0.216,0.256,0.456,False,False,False,False
hba1c_le_75_mmol_mol_9_0pct,primary_prevention_on_statins_without_cvd_history,-0.14,0.14,0.07,-0.228,-0.034,0.126,0.165,0.034,0.146,0.138,0.228,False,False,False,False
hba1c_le_75_mmol_mol_9_0pct,combined_prevention_on_statins,-0.139,0.139,0.073,-0.209,-0.002,0.093,0.113,0.002,0.103,0.104,0.209,False,False,False,False
smoking,combined_prevention_on_statins,0.133,0.133,0.086,0.598,0.554,0.459,0.38,0.38,0.506,0.498,0.598,False,False,False,False
hba1c_le_48_mmol_mol_6_5pct,secondary_prevention_on_statins_with_cvd_history,0.132,0.132,0.087,0.032,0.215,0.389,0.26,0.032,0.238,0.224,0.389,False,False,False,False
serum_creatinine,primary_prevention_on_statins_without_cvd_history,-0.129,0.129,0.095,-0.026,-0.079,-0.082,-0.09,0.026,0.081,0.069,0.09,False,False,False,False
serum_creatinine,combined_prevention_on_statins,-0.116,0.116,0.134,-0.021,-0.067,-0.117,-0.073,0.021,0.07,0.07,0.117,False,False,False,False
hba1c,primary_prevention_on_statins_without_cvd_history,-0.109,0.109,0.158,0.126,0.024,-0.008,-0.027,0.008,0.026,0.046,0.126,False,False,False,False
blood_pressure_le_140_80,secondary_prevention_on_statins_with_cvd_history,0.108,0.108,0.162,0.317,0.238,0.448,0.342,0.238,0.33,0.336,0.448,False,False,False,False
urine_albumin,hba1c_le_48_mmol_mol_6_5pct,0.106,0.106,0.173,0.173,-0.268,-0.257,-0.004,0.004,0.215,0.176,0.268,False,False,False,False
smoking,primary_prevention_on_statins_without_cvd_history,0.106,0.106,0.171,0.558,0.513,0.47,0.326,0.326,0.491,0.467,0.558,False,False,False,False
hba1c_le_53_mmol_mol_7_0pct,secondary_prevention_on_statins_with_cvd_history,0.102,0.102,0.187,-0.009,0.211,0.263,0.204,0.009,0.207,0.172,0.263,False,False,False,False
hba1c_le_48_mmol_mol_6_5pct,primary_prevention_on_statins_without_cvd_history,-0.101,0.101,0.191,-0.167,-0.036,0.162,0.216,0.036,0.165,0.145,0.216,False,False,False,False
hba1c_le_75_mmol_mol_9_0pct,secondary_prevention_on_statins_with_cvd_history,-0.1,0.1,0.195,-0.181,-0.009,-0.006,-0.002,0.002,0.008,0.05,0.181,False,False,False,False
hba1c,combined_prevention_on_statins,-0.097,0.097,0.213,0.141,0.025,-0.049,-0.007,0.007,0.037,0.055,0.141,False,False,False,False
combined_prevention_on_statins,all_three_treatment_targets,0.092,0.092,0.235,0.151,0.233,0.465,0.605,0.151,0.349,0.363,0.605,False,False,False,False
hba1c_le_53_mmol_mol_7_0pct,primary_prevention_on_statins_without_cvd_history,-0.091,0.091,0.242,-0.195,-0.002,0.15,0.197,0.002,0.173,0.136,0.197,False,False,False,False
hba1c_le_58_mmol_mol_7_5pct,primary_prevention_on_statins_without_cvd_history,-0.091,0.091,0.239,-0.165,0.029,0.134,0.219,0.029,0.149,0.137,0.219,False,False,False,False
hba1c_le_58_mmol_mol_7_5pct,secondary_prevention_on_statins_with_cvd_history,0.091,0.091,0.241,0.015,0.259,0.197,0.216,0.015,0.207,0.172,0.259,False,False,False,False
blood_pressure,secondary_prevention_on_statins_with_cvd_history,-0.082,0.082,0.288,0.084,0.085,-0.181,-0.282,0.084,0.133,0.158,0.282,False,False,False,False
bmi,secondary_prevention_on_statins_with_cvd_history,-0.074,0.074,0.338,0.049,-0.069,-0.132,-0.096,0.049,0.082,0.086,0.132,False,False,False,False
hba1c_le_58_mmol_mol_7_5pct,combined_prevention_on_statins,-0.071,0.071,0.361,-0.14,0.092,0.121,0.182,0.092,0.131,0.134,0.182,False,False,False,False
blood_pressure,primary_prevention_on_statins_without_cvd_history,-0.07,0.07,0.368,0.407,0.369,0.094,-0.022,0.022,0.231,0.223,0.407,False,False,False,False
urine_albumin,primary_prevention_on_statins_without_cvd_history,0.067,0.067,0.389,0.074,0.143,0.063,-0.076,0.063,0.075,0.089,0.143,False,False,False,False
primary_prevention_on_statins_without_cvd_history,all_three_treatment_targets,0.066,0.066,0.394,0.137,0.214,0.44,0.61,0.137,0.327,0.35,0.61,False,False,False,False
cholesterol,primary_prevention_on_statins_without_cvd_history,-0.064,0.064,0.413,0.369,0.327,0.191,0.224,0.191,0.276,0.278,0.369,False,False,False,False
urine_albumin,secondary_prevention_on_statins_with_cvd_history,0.06,0.06,0.442,0.214,0.128,0.06,-0.124,0.06,0.126,0.131,0.214,False,False,False,False
hba1c_le_53_mmol_mol_7_0pct,combined_prevention_on_statins,-0.06,0.06,0.437,-0.159,0.063,0.161,0.169,0.063,0.16,0.138,0.169,False,False,False,False
blood_pressure_le_140_80,combined_prevention_on_statins,0.06,0.06,0.437,0.291,0.246,0.526,0.495,0.246,0.393,0.39,0.526,False,False,False,False
urine_albumin,combined_prevention_on_statins,0.056,0.056,0.472,0.099,0.104,0.009,-0.137,0.009,0.101,0.087,0.137,False,False,False,False
hba1c_le_48_mmol_mol_6_5pct,combined_prevention_on_statins,-0.055,0.055,0.476,-0.117,0.04,0.195,0.214,0.04,0.156,0.142,0.214,False,False,False,False
blood_pressure,combined_prevention_on_statins,-0.052,0.052,0.506,0.429,0.399,0.056,-0.005,0.005,0.228,0.222,0.429,False,False,False,False
foot_surveillance,primary_prevention_on_statins_without_cvd_history,-0.051,0.051,0.508,0.38,0.401,0.198,0.145,0.145,0.289,0.281,0.401,False,False,False,False
all_eight_care_processes,secondary_prevention_on_statins_with_cvd_history,0.05,0.05,0.521,0.203,0.092,0.114,0.05,0.05,0.103,0.115,0.203,False,False,False,False
foot_surveillance,secondary_prevention_on_statins_with_cvd_history,0.047,0.047,0.547,0.445,0.385,0.242,0.135,0.135,0.314,0.302,0.445,False,False,False,False
all_eight_care_processes,combined_prevention_on_statins,0.044,0.044,0.571,0.132,0.143,0.045,0.015,0.015,0.089,0.084,0.143,False,False,False,False
all_eight_care_processes,primary_prevention_on_statins_without_cvd_history,0.043,0.043,0.577,0.113,0.145,0.095,0.056,0.056,0.104,0.102,0.145,False,False,False,False
cholesterol,combined_prevention_on_statins,-0.041,0.041,0.595,0.406,0.363,0.141,0.268,0.141,0.316,0.295,0.406,False,False,False,False
foot_surveillance,combined_prevention_on_statins,-0.036,0.036,0.643,0.385,0.397,0.165,0.143,0.143,0.275,0.273,0.397,False,False,False,False
blood_pressure_le_140_80,primary_prevention_on_statins_without_cvd_history,0.034,0.034,0.658,0.261,0.216,0.478,0.485,0.216,0.37,0.36,0.485,False,False,False,False
bmi,primary_prevention_on_statins_without_cvd_history,-0.008,0.008,0.918,0.354,0.245,0.086,0.055,0.055,0.165,0.185,0.354,False,False,False,False
cholesterol,secondary_prevention_on_statins_with_cvd_history,0.001,0.001,0.993,0.34,0.191,0.074,0.187,0.074,0.189,0.198,0.34,False,False,False,False
bmi,combined_prevention_on_statins,-0.0,0.0,0.996,0.376,0.236,0.045,0.051,0.045,0.143,0.177,0.376,False,False,False,False
